index,image,label,encoded_label
0,./dataset/dog/6376.jpg,dog,1
1,./dataset/dog/6688.jpg,dog,1
2,./dataset/dog/9445.jpg,dog,1
3,./dataset/dog/1885.jpg,dog,1
4,./dataset/dog/6673.jpg,dog,1
5,./dataset/dog/7502.jpg,dog,1
6,./dataset/dog/343.jpg,dog,1
7,./dataset/dog/6305.jpg,dog,1
8,./dataset/dog/7533.jpg,dog,1
9,./dataset/dog/7916.jpg,dog,1
10,./dataset/dog/865.jpg,dog,1
11,./dataset/dog/2592.jpg,dog,1
12,./dataset/dog/4069.jpg,dog,1
13,./dataset/dog/12365.jpg,dog,1
14,./dataset/dog/8010.jpg,dog,1
15,./dataset/dog/1535.jpg,dog,1
16,./dataset/dog/5723.jpg,dog,1
17,./dataset/dog/7806.jpg,dog,1
18,./dataset/dog/7625.jpg,dog,1
19,./dataset/dog/2566.jpg,dog,1
20,./dataset/dog/5084.jpg,dog,1
21,./dataset/dog/12367.jpg,dog,1
22,./dataset/dog/5025.jpg,dog,1
23,./dataset/dog/1687.jpg,dog,1
24,./dataset/dog/5573.jpg,dog,1
25,./dataset/dog/11337.jpg,dog,1
26,./dataset/dog/10193.jpg,dog,1
27,./dataset/dog/4467.jpg,dog,1
28,./dataset/dog/4714.jpg,dog,1
29,./dataset/dog/1162.jpg,dog,1
30,./dataset/dog/2118.jpg,dog,1
31,./dataset/dog/4337.jpg,dog,1
32,./dataset/dog/12336.jpg,dog,1
33,./dataset/dog/4744.jpg,dog,1
34,./dataset/dog/7179.jpg,dog,1
35,./dataset/dog/6907.jpg,dog,1
36,./dataset/dog/1665.jpg,dog,1
37,./dataset/dog/6348.jpg,dog,1
38,./dataset/dog/10736.jpg,dog,1
39,./dataset/dog/8880.jpg,dog,1
40,./dataset/dog/6215.jpg,dog,1
41,./dataset/dog/4888.jpg,dog,1
42,./dataset/dog/7639.jpg,dog,1
43,./dataset/dog/2035.jpg,dog,1
44,./dataset/dog/635.jpg,dog,1
45,./dataset/dog/10033.jpg,dog,1
46,./dataset/dog/4943.jpg,dog,1
47,./dataset/dog/435.jpg,dog,1
48,./dataset/dog/10624.jpg,dog,1
49,./dataset/dog/5674.jpg,dog,1
50,./dataset/dog/1397.jpg,dog,1
51,./dataset/dog/7372.jpg,dog,1
52,./dataset/dog/5441.jpg,dog,1
53,./dataset/dog/1538.jpg,dog,1
54,./dataset/dog/2516.jpg,dog,1
55,./dataset/dog/669.jpg,dog,1
56,./dataset/dog/7584.jpg,dog,1
57,./dataset/dog/12339.jpg,dog,1
58,./dataset/dog/5166.jpg,dog,1
59,./dataset/dog/4554.jpg,dog,1
60,./dataset/dog/1975.jpg,dog,1
61,./dataset/dog/9477.jpg,dog,1
62,./dataset/dog/2771.jpg,dog,1
63,./dataset/dog/442.jpg,dog,1
64,./dataset/dog/4632.jpg,dog,1
65,./dataset/dog/8433.jpg,dog,1
66,./dataset/dog/3086.jpg,dog,1
67,./dataset/dog/3284.jpg,dog,1
68,./dataset/dog/1411.jpg,dog,1
69,./dataset/dog/3912.jpg,dog,1
70,./dataset/dog/12301.jpg,dog,1
71,./dataset/dog/10164.jpg,dog,1
72,./dataset/dog/9305.jpg,dog,1
73,./dataset/dog/9239.jpg,dog,1
74,./dataset/dog/4203.jpg,dog,1
75,./dataset/dog/12372.jpg,dog,1
76,./dataset/dog/9360.jpg,dog,1
77,./dataset/dog/6985.jpg,dog,1
78,./dataset/dog/5713.jpg,dog,1
79,./dataset/dog/11158.jpg,dog,1
80,./dataset/dog/8354.jpg,dog,1
81,./dataset/dog/10576.jpg,dog,1
82,./dataset/dog/4761.jpg,dog,1
83,./dataset/dog/7359.jpg,dog,1
84,./dataset/dog/3101.jpg,dog,1
85,./dataset/dog/5287.jpg,dog,1
86,./dataset/dog/130.jpg,dog,1
87,./dataset/dog/5374.jpg,dog,1
88,./dataset/dog/8866.jpg,dog,1
89,./dataset/dog/8033.jpg,dog,1
90,./dataset/dog/6098.jpg,dog,1
91,./dataset/dog/8676.jpg,dog,1
92,./dataset/dog/1845.jpg,dog,1
93,./dataset/dog/4662.jpg,dog,1
94,./dataset/dog/10420.jpg,dog,1
95,./dataset/dog/5624.jpg,dog,1
96,./dataset/dog/11478.jpg,dog,1
97,./dataset/dog/10816.jpg,dog,1
98,./dataset/dog/6228.jpg,dog,1
99,./dataset/dog/9528.jpg,dog,1
100,./dataset/dog/661.jpg,dog,1
101,./dataset/dog/5390.jpg,dog,1
102,./dataset/dog/5221.jpg,dog,1
103,./dataset/dog/5929.jpg,dog,1
104,./dataset/dog/4983.jpg,dog,1
105,./dataset/dog/2462.jpg,dog,1
106,./dataset/dog/7383.jpg,dog,1
107,./dataset/dog/2209.jpg,dog,1
108,./dataset/dog/603.jpg,dog,1
109,./dataset/dog/5566.jpg,dog,1
110,./dataset/dog/31.jpg,dog,1
111,./dataset/dog/3174.jpg,dog,1
112,./dataset/dog/3292.jpg,dog,1
113,./dataset/dog/4917.jpg,dog,1
114,./dataset/dog/1410.jpg,dog,1
115,./dataset/dog/1958.jpg,dog,1
116,./dataset/dog/5616.jpg,dog,1
117,./dataset/dog/8961.jpg,dog,1
118,./dataset/dog/919.jpg,dog,1
119,./dataset/dog/11423.jpg,dog,1
120,./dataset/dog/1577.jpg,dog,1
121,./dataset/dog/3114.jpg,dog,1
122,./dataset/dog/8466.jpg,dog,1
123,./dataset/dog/5999.jpg,dog,1
124,./dataset/dog/4427.jpg,dog,1
125,./dataset/dog/12172.jpg,dog,1
126,./dataset/dog/9011.jpg,dog,1
127,./dataset/dog/1570.jpg,dog,1
128,./dataset/dog/2631.jpg,dog,1
129,./dataset/dog/3002.jpg,dog,1
130,./dataset/dog/2188.jpg,dog,1
131,./dataset/dog/7426.jpg,dog,1
132,./dataset/dog/11572.jpg,dog,1
133,./dataset/dog/2849.jpg,dog,1
134,./dataset/dog/7837.jpg,dog,1
135,./dataset/dog/10620.jpg,dog,1
136,./dataset/dog/1870.jpg,dog,1
137,./dataset/dog/8808.jpg,dog,1
138,./dataset/dog/9534.jpg,dog,1
139,./dataset/dog/3655.jpg,dog,1
140,./dataset/dog/491.jpg,dog,1
141,./dataset/dog/8248.jpg,dog,1
142,./dataset/dog/896.jpg,dog,1
143,./dataset/dog/385.jpg,dog,1
144,./dataset/dog/2077.jpg,dog,1
145,./dataset/dog/5450.jpg,dog,1
146,./dataset/dog/11018.jpg,dog,1
147,./dataset/dog/5588.jpg,dog,1
148,./dataset/dog/12304.jpg,dog,1
149,./dataset/dog/205.jpg,dog,1
150,./dataset/dog/7155.jpg,dog,1
151,./dataset/dog/5699.jpg,dog,1
152,./dataset/dog/9087.jpg,dog,1
153,./dataset/dog/851.jpg,dog,1
154,./dataset/dog/944.jpg,dog,1
155,./dataset/dog/10715.jpg,dog,1
156,./dataset/dog/7151.jpg,dog,1
157,./dataset/dog/2801.jpg,dog,1
158,./dataset/dog/10696.jpg,dog,1
159,./dataset/dog/2740.jpg,dog,1
160,./dataset/dog/2721.jpg,dog,1
161,./dataset/dog/9156.jpg,dog,1
162,./dataset/dog/6652.jpg,dog,1
163,./dataset/dog/1523.jpg,dog,1
164,./dataset/dog/2377.jpg,dog,1
165,./dataset/dog/10365.jpg,dog,1
166,./dataset/dog/7475.jpg,dog,1
167,./dataset/dog/760.jpg,dog,1
168,./dataset/dog/466.jpg,dog,1
169,./dataset/dog/7731.jpg,dog,1
